pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name
D01132__F00105,D01132,Vismodegib,F00105,High-Fat Meal,Food,Use caution,vismodegib [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.0001140706157727,0.8455953968861433,0.1542905324980841,Positive,Positive,Positive,"Mean C(max) and AUC(0-168) after a single dose were higher in HF than FO patients [ratios of geometric means (90% CI) = 1.75 (1.30, 2.34) and 1.74 (1.25, 2.42), respectively].","A HF meal increases plasma exposure to a single dose of vismodegib, but there are no pharmacokinetic or safety differences between fasting and fed groups at steady-state. Vismodegib may be taken with or without food for daily dosing.",23553850.0,Evaluation of food effect on pharmacokinetics of vismodegib in advanced solid tumor patients,10.1158/1078-0432.CCR-12-3829,Dietary effects,Dietary effects,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D01278__F00105,D01278,Omaveloxolone,F00105,High-Fat Meal,Food,Use caution,omaveloxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"Omaveloxolone Cmax and AUC0-inf increased by approximately 350% and 15%, respectively, with a high-fat meal.",Administer SKYCLARYS on an empty stomach at least one hour before eating,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216718Orig1s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00365__F00105,D00365,Ticlopidine,F00105,High-Fat Meal,Food,Use caution,ticlopidine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,No Effect; Positive,Take with a high fat meal. High fat meals will increase ticlopidine absorption.,Take with food. Food can help ticlopidine-induced stomach upset.,,https://go.drugbank.com/drugs/DB00208,,Drugbank,Dietary effects; Drugbank,2,2,1,1,MedSafe-GATE v1 balanced-safety threshold 0.6
D00976__F00105,D00976,Rilpivirine,F00105,High-Fat Meal,Food,Use caution,rilpivirine [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.0001096921470626,0.652326616563128,0.3475636912898094,Positive,Positive,Positive,"With a high-fat breakfast or only a protein-rich nutritional drink, the corresponding values were 0.92 (90% CI: 0.80-1.07), compared to dosing with a normal-fat breakfast.",Rilpivirine bioavailability was similar when administered with a high-fat or normal-fat breakfast. Rilpivirine should always be taken with a meal to ensure adequate bioavailability.,23720136.0,Impact of food and different meal types on the pharmacokinetics of rilpivirine,10.1002/jcph.107,Dietary effects,Dietary Effect-Package Insert; Dietary effects,4,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00716__F00105,D00716,Lactitol,F00105,High-Fat Meal,Food,Use caution,lactitol [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,Cmax and AUC values increase greater than 2-fold under fasted conditions compared to fed conditions.,Take with food. The manufacturer recommends administration with meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211281s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00586__F00105,D00586,Exemestane,F00105,High-Fat Meal,Food,Use caution,exemestane [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"Fed study : Cmax (ng/mL) = 17.7 ± 4.5,Tmax (h) = 1.88 ± 0.5,AUC0‐inf (ng.h/mL) = 41.3 ± 3.4; Fasted study : Cmax (ng/mL) = 11.1 ± 1.3,Tmax (h) = 0.97 ± 0.28,AUC0‐inf (ng.h/mL)) = 29.7 ± 2.2",Take with food. The manufacturer recommends administration following a meal.,15752382.0,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation,10.1111/j.1365-2125.2005.02335.x,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00422__F00105,D00422,Cysteamine,F00105,High-Fat Meal,Food,Use caution,cysteamine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Negative,Negative,Negative,"An exploratory trial shows that food can reduce the systemic exposure of cysteamine, therefore, it is recommended that PROCYSBI be administered at least 30 minutes before or 2 hours after a meal with a high-fat meal.",Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203389s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00321__F00105,D00321,Propafenone,F00105,High-Fat Meal,Food,Use caution,propafenone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"Food increased peak blood level and bioavailability in a single-dose trial, during multiple-dose administration of propafenone to healthy volunteers, food did not change bioavailability significantly.",Take with or without food. Take consistently at the same time in regard to meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/019151s015lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00282__F00105,D00282,Guanfacine,F00105,High-Fat Meal,Food,Use caution,guanfacine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,The mean exposure increased (Cmax approximately 75% and AUC approximately 40%) compared to dosing in a fasted state.,"Do not administer with high-fat meals, because of increased exposure.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022037s018lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00597__H00088,D00597,Atorvastatin,H00088,herba Menthae,Herb,Use caution,atorvastatin [SEP] herba menthae [SEP] herb,No known interaction in selected source,0.012595691104576,0.8171980893134675,0.1702062195819564,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00331__F00105,D00331,Raloxifene,F00105,High-Fat Meal,Food,Use caution,raloxifene [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"Increases the absorption of raloxifene (Cmax 28% and AUC 16%), but does not lead to clinically meaningful changes in systemic exposure. E","The recommended dosage is one 60 mg EVISTA (raloxifene hydrochloride tablets) tablet daily, which may be administered any time of day without regard to meals.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020815s034lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00684__F00105,D00684,Desloratadine,F00105,High-Fat Meal,Food,Use caution,desloratadine [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.0001159831404879,0.8759765876673566,0.1239074291921554,Negative,Negative,Negative; No Effect,Administration in a fed state resulted in 34.07 and 32.06 % decreases in maximum plasma concentration and area under the concentration-time curve from time zero to infinity for desloratadine and 47.26 and 48.46 % for 3-OH-desloratadine compared with those values under fasting conditions.,Chinese population was low and that food intake could significantly decrease the absorption rate and extent of desloratadine.,26446005.0,Prevalence of Desloratadine Slow-metabolizer Phenotype and Food-dependent Pharmacokinetics of Desloratadine in Healthy Chinese Volunteers,10.1007/s40261-015-0343-1,Dietary effects,Dietary effects,2,2,1,1,MedSafe-GATE v1 balanced-safety threshold 0.6
D00187__F00103,D00187,Ibuprofen,F00103,Alcohol,Food,Use caution,ibuprofen [SEP] alcohol [SEP] food,No known interaction in selected source,0.0002283069603847,0.9705532331500604,0.029218459889555,Possible,Possible,Possible,The chance of a person getting an ulcer or bleeding increases with drinking alcohol.,Avoid alcohol.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/017463s105lbl.pdf,,FDI-Package Insert,FDI-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D01269__F00105,D01269,Selinexor,F00105,High-Fat Meal,Food,Use caution,selinexor [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,No Effect; Positive,High-fat meal did not affect the pharmacokinetics of selinexor to a clinically significant extent.,Take with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212306s001lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,MedSafe-GATE v1 balanced-safety threshold 0.6
D00785__F00105,D00785,Pretomanid,F00105,High-Fat Meal,Food,Use caution,pretomanid [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"Fed/fasting comparison : AUC0‐t(90%CI) = 374.26 (337.40–415.12),Cmax(90%CI) = 449.93 (401.20–504.62),AUC0‐inf(90%CI) = 372.76 (336.20–413.29)","PA-824 was moderately rapidly absorbed in both fed and fasted states. These data suggest that the less-than-dose-proportional increase in PA-824 exposure with increasing dose in the fasted state is due to decreased oral bioavailability at higher doses. The presence of food appears to increase the overall solubility of PA-824, and/or dissolution of PA-824 tablets, in the gastrointestinal tract and thereby enhances drug absorption.",23979737.0,"Effect of a high-calorie, high-fat meal on the bioavailability and pharmacokinetics of PA-824 in healthy adult subjects",10.1128/AAC.00798-13,Dietary effects,Dietary Effect-Package Insert; Dietary effects,4,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00673__F00105,D00673,Paliperidone,F00105,High-Fat Meal,Food,Use caution,paliperidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"A standard high-fat/high-caloric meal gave mean Cmax and AUC values of paliperidone that were increased by 60% and 54%, respectively, compared with administration under fasting conditions.",Extended-release tablet administered in the morning with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021999s018lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00681__F00105,D00681,Piperaquine,F00105,High-Fat Meal,Food,Use caution,piperaquine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"In the fed state, the geometric mean Cmax increased by 213%, from 21.0 to 65.8 microg/liter (P<0.001). The time of Cmax was not significantly different between the fasting and fed states. The geometric mean AUC0-inf increased by 98%, from 3724 to 7362 mg.h/liter (P=0.006). The oral bioavailability of PQ relative to the fasting state was 121% greater after the high-fat meal (95% confidence interval, 26 to 216% increase; P=0.020).","The absorption of PQ is approximately doubled by coadministration with a high-fat meal. However, currently recommended doses of PQ as part of ACT are highly effective when given to fasting patients.",15917540.0,Effects of a high-fat meal on the relative oral bioavailability of piperaquine,10.1128/AAC.49.6.2407-2411.2005,Dietary effects,Dietary Effect-Package Insert; Dietary effects,3,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D01391__F00105,D01391,Pibrentasvir,F00105,High-Fat Meal,Food,Use caution,pibrentasvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,AUCFed/AUCFasted = 1.4–1.53,Three tablets taken at the same time orally once daily (total daily dose: glecaprevir 300 mg and pibrentasvir 120 mg) with food.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209394s014,215110s001lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D01494__F00105,D01494,Nirmatrelvir,F00105,High-Fat Meal,Food,Use caution,nirmatrelvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Positive,Positive,Positive,"AUCinf and Cmax for nirmatrelvir were 119.67 (108.75, 131.68) and 161.01 (139.05, 186.44), respectively.",Administer orally with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217188s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D01074__F00105,D01074,Eluxadoline,F00105,High-Fat Meal,Food,Use caution,eluxadoline [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Negative,Negative,Negative,Decreased the Cmax of eluxadoline by 50% and AUC by 60%,Taken twice daily with food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206940s007lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00291__H00877,D00291,Phenacetin,H00877,Folium Evodiae rutaecarpae,Herb,Use caution,phenacetin [SEP] folium evodiae rutaecarpae [SEP] herb,No known interaction in selected source,0.0008883459030409,0.6428834699900323,0.3562281841069268,Possible,Possible,Possible,"After pre-treatment with evodiamine, the t 1/2 , C max and AUC (0–inf) of phenacetin in the evodiamine group were increased significantly by 81.3, 42.8 and 76.4% compared to those of the control group, while CL/F of phenacetin in the evodiamine group decreased significantly by 56.3%. These results indicated that the metabolism of evodiamine in the treatment group was evidently slowed down, and evodiamine had the potential to inhibit rat hepatic CYP1A2 activity in vivo.","In conclusion, the results indicated that evodiamine could inhibit CYP1A2, which may affect the disposition of medicines primarily dependent on these pathways.",26872133.0,Effect of Evodiamine on CYP Enzymes in Rats by a Cocktail Method,10.1159/000443178,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00844__F00105,D00844,Orlistat,F00105,High-Fat Meal,Food,Use caution,orlistat [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Possible,Possible,Possible,"Gastrointestinal events may increase when XENICAL is taken with a diet high in fat (>30% total daily calories from fat). The daily intake of fat should be distributed over three main meals. If XENICAL is taken with any one meal very high in fat, the possibility of gastrointestinal effects increases",One 120-mg capsule three times a day with each main meal containing fat (during or up to 1 hour after the meal).,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020766s038lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00745__F00105,D00745,Lenalidomide,F00105,High-Fat Meal,Food,Use caution,lenalidomide [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Negative,Negative,Negative; No Effect,"Co-administration with a high-fat meal reduced the area under the concentration-time curve (AUC) and C (max) by approximately 20 and 50 %, respectively, and delayed time to C (max) (t (max)) by 1.63 h. However, phase III trials were dosed without regard to food; therefore, clinical relevance of the food effect was minimal.","Although food reduced bioavailability, this was not considered clinically relevant.",22955172.0,"Single-dose pharmacokinetics of lenalidomide in healthy volunteers: dose proportionality, food effect, and racial sensitivity",10.1007/s00280-012-1966-z,Dietary effects,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,MedSafe-GATE v1 balanced-safety threshold 0.6
D00069__H00057,D00069,Caffeine,H00057,Radix Angelicae Dahuricae,Herb,Use caution,caffeine [SEP] radix angelicae dahuricae [SEP] herb,No known interaction in selected source,0.0027279853087161,0.9733109668236224,0.0239610478676614,Negative,Negative,Negative,Metabolic activity : Geometric mean ratio (95% CI) = 0.10 (0.05–0.22),Herbal medicines containing S. radix or A. dahuricae radix are candidates for further evaluation of clinically significant CYP-mediated herb-drug interactions in human beings.,19422358.0,"Effects of Angelicae tenuissima radix, Angelicae dahuricae radix and Scutellariae radix extracts on cytochrome P450 activities in healthy volunteers",10.1111/j.1742-7843.2009.00423.x,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00271__F00162,D00271,Omeprazole,F00162,Grapefruit,Food,Use caution,omeprazole [SEP] grapefruit [SEP] food,No known interaction in selected source,0.0093941462131636,0.8642189440792496,0.1263869097075868,Possible,Possible,Possible,"Grapefruit juice group (Omeprazole):Cmax (nmol/ml) = 1608±937,tmax(h) = 3.0 (2.0–4.0),t1/2(h) = 1.2±0.54,AUC0-t (nmol/mL . h) = 5117±4119; Water group(Omeprazole) : Cmax (nmol/ml) = 1612±1017,tmax(h) = 2.0 (1.0–4.0),t1/2(h) = 1.2±0.7,AUC0-t (nmol/mL . h) = 4610±4583; Grapefruit juice group (5-hydroxylansoprazole): Cmax (nmol/ml) = 393±196,tmax(h) = 3.0 (2.0–4.0) ,t1/2(h) = 1.5±0.8,AUC0-t (nmol/mL . h) = 1138±361; Water group(5-hydroxylansoprazole) : Cmax (nmol/ml) = 402±210,tmax(h) = 3.0 (2.0–4.0),t1/2(h) = 1.1±0.4,AUC0-t (nmol/mL . h) = 1107±371; Grapefruit juice group (Omeprazole sulphone): Cmax (nmol/ml) = 538±203,tmax(h) = 3.0 (2.0–8.0),t1/2(h) = 4.7±4.5,AUC0-t (nmol/mL . h) = 3438±2362; Water group(Omeprazole sulphone) : Cmax (nmol/ml) = 437±23,tmax(h) = 4.0 (3.0–10.0) ,t1/2(h) = 4.7±4.6,AUC0-t (nmol/mL . h) = 2765±1940","Grapefruit juice had minimal effect on omeprazole.Administration of grapefruit juice decreased the formation of omeprazole sulphone but not 5-hydroxyomeprazole. These results indicate that activities of CYP3A4, but not of CYP2C19, are inhibited by the simultaneous administration of grapefruit juice.",10671908.0,Formation of omeprazole sulphone but not 5-hydroxyomeprazole is inhibited by grapefruit juice,10.1046/j.1365-2125.2000.00122.x,HFDI,HFDI,2,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
D00664__F00105,D00664,Droxidopa,F00105,High-Fat Meal,Food,Use caution,droxidopa [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.052979457420944e-05,0.6870392687289563,0.3129402014764697,Negative,Negative,Negative,"Cmax decreased by 35%,AUC decreased by 20%. The Cmax was delayed by approximately 2 hours with a high-fat meal.",Take consistently with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/203202s007lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,MedSafe-GATE v1 balanced-safety threshold 0.6
